id,parent_id,kind,name,description,technology,loc_span,module_count,source_paths
simulation_clis,s3ntinel,container,Simulation And Utility CLIs,"Canonical simulation runner plus replay, profiling, smoke, and helper scripts.",Python CLI,1829,11,"scripts/__init__.py,scripts/calibrate_continuous_events.py,scripts/evaluate_sim_event_labels.py,scripts/generate_sample_data.py,scripts/profile_pipeline_performance.py,scripts/report_sim_replay.py,scripts/run_partition_manifest_jobs.py,scripts/run_sim_pipeline.py,scripts/smoke_test_pipeline.py,scripts/sweep_smoke_graph_hierarchy.py,scripts/window_diagnostics.py"
simulation_clis.simulation_runner,simulation_clis,component,Simulation Runner,Generates simulation telemetry bundles and runs the persisted pipeline over them.,Python CLI,7,1,scripts/run_sim_pipeline.py
simulation_clis.performance_and_replay,simulation_clis,component,Performance And Replay Utilities,"Profiles replayable runs, reports replay boundaries, and runs smoke workflows.",Python CLI,885,3,"scripts/profile_pipeline_performance.py,scripts/report_sim_replay.py,scripts/smoke_test_pipeline.py"
core_libraries,s3ntinel,container,Core Libraries,Reusable domain and infrastructure libraries behind the active runtime path.,Python + PySpark,44669,189,"libs/__init__.py,libs/anomaly/__init__.py,libs/anomaly/frames.py,libs/anomaly/pipeline.py,libs/anomaly/tables.py,libs/anomaly/validator.py,libs/backbone/__init__.py,libs/backbone/artifacts.py,libs/backbone/energy.py,libs/backbone/fit.py,libs/backbone/tables.py,libs/behavior/__init__.py,libs/behavior/accumulative.py,libs/behavior/base.py,libs/behavior/discrete_state.py,libs/behavior/inertial.py,libs/behavior/primitives.py,libs/behavior/registry.py,libs/behavior/regulated.py,libs/behavior/tick.py,libs/behavior/tracking.py,libs/behavior/utils.py,libs/behavior/validation.py,libs/common/__init__.py,libs/common/event_types.py,libs/common/parameter_datatypes.py,libs/common/spark_exprs.py,libs/config/__init__.py,libs/config/pipeline.py,libs/events/__init__.py,libs/events/calibration.py,libs/events/categorical.py,libs/events/continuous.py,libs/events/pipeline.py,libs/events/profiling.py,libs/events/tables.py,libs/events/types.py,libs/events/validator.py,libs/graph/__init__.py,libs/graph/data.py,libs/graph/evaluation.py,libs/graph/event.py,libs/graph/fused.py,libs/graph/hierarchy.py,libs/graph/hierarchy_artifacts.py,libs/graph/lag.py,libs/graph/pipeline.py,libs/graph/precision.py,libs/graph/tables.py,libs/graph/transition.py,libs/graph/validator.py,libs/io/__init__.py,libs/io/contracts.py,libs/io/delta.py,libs/io/pandas_spark.py,libs/io/schemas/__init__.py,libs/io/schemas/anomaly.py,libs/io/schemas/backbone.py,libs/io/schemas/events.py,libs/io/schemas/explorer.py,libs/io/schemas/graph.py,libs/io/schemas/phase.py,libs/io/schemas/profiling.py,libs/io/schemas/scoring.py,libs/io/schemas/telemetry.py,libs/io/schemas/windows.py,libs/io/transforms.py,libs/perf/__init__.py,libs/perf/annotations.py,libs/perf/logger.py,libs/perf/memory.py,libs/perf/mlflow.py,libs/perf/stage_manifest.py,libs/phase/__init__.py,libs/phase/analysis.py,libs/phase/artifacts.py,libs/phase/config_fit.py,libs/phase/decode.py,libs/phase/feature_config.py,libs/phase/fit.py,libs/phase/frames.py,libs/phase/pipeline.py,libs/phase/selectors.py,libs/phase/tables.py,libs/phase/types.py,libs/phase/utils.py,libs/phase/validator.py,libs/plotting/__init__.py,libs/plotting/explorer_bundle.py,libs/plotting/simulation_artifacts.py,libs/profiling/__init__.py,libs/profiling/pipeline.py,libs/profiling/profiles.py,libs/profiling/validator.py,libs/pyspark/__init__.py,libs/pyspark/frame.py,libs/pyspark/schema.py,libs/pyspark/table.py,libs/reporting/__init__.py,libs/reporting/frame.py,libs/scoring/__init__.py,libs/scoring/channels.py,libs/scoring/tables.py,libs/scoring/validator.py,libs/simulation/__init__.py,libs/simulation/aircraft/__init__.py,libs/simulation/aircraft/examples.py,libs/simulation/aircraft/runtime.py,libs/simulation/aircraft/spec.py,libs/simulation/cli.py,libs/simulation/coupling/__init__.py,libs/simulation/coupling/examples.py,libs/simulation/coupling/runtime.py,libs/simulation/coupling/spec.py,libs/simulation/event_truth.py,libs/simulation/fault/__init__.py,libs/simulation/fault/examples.py,libs/simulation/fault/runtime.py,libs/simulation/fault/spec.py,libs/simulation/fleet/__init__.py,libs/simulation/fleet/examples.py,libs/simulation/fleet/runtime.py,libs/simulation/flight/__init__.py,libs/simulation/flight/examples.py,libs/simulation/flight/runtime.py,libs/simulation/flight/spec.py,libs/simulation/full_run_report.py,libs/simulation/module/__init__.py,libs/simulation/module/examples.py,libs/simulation/module/runtime.py,libs/simulation/module/spec.py,libs/simulation/parameter/__init__.py,libs/simulation/parameter/examples.py,libs/simulation/parameter/runtime.py,libs/simulation/parameter/spec.py,libs/simulation/phase/__init__.py,libs/simulation/phase/catalog.py,libs/simulation/phase/examples.py,libs/simulation/phase/runtime.py,libs/simulation/phase/spec.py,libs/simulation/port/__init__.py,libs/simulation/port/examples.py,libs/simulation/port/runtime.py,libs/simulation/port/spec.py,libs/simulation/replay_report.py,libs/simulation/report_tables.py,libs/simulation/reporting.py,libs/simulation/run_bundle.py,libs/simulation/run_cli.py,libs/simulation/run_context.py,libs/simulation/runner.py,libs/simulation/scenarios/__init__.py,libs/simulation/scenarios/power_pressurization.py,libs/simulation/seed_bundle.py,libs/simulation/subsystem/__init__.py,libs/simulation/subsystem/examples.py,libs/simulation/subsystem/runtime.py,libs/simulation/subsystem/spec.py,libs/simulation/system/__init__.py,libs/simulation/system/examples.py,libs/simulation/system/runtime.py,libs/simulation/system/spec.py,libs/simulation/tail/__init__.py,libs/simulation/tail/examples.py,libs/simulation/tail/runtime.py,libs/simulation/validation_harness.py,libs/spark_sequence/__init__.py,libs/spark_sequence/plan.py,libs/tuning/__init__.py,libs/tuning/benchmark_execution.py,libs/tuning/benchmark_invocation.py,libs/tuning/benchmark_planning.py,libs/tuning/benchmark_reporting.py,libs/tuning/benchmark_runner.py,libs/tuning/benchmark_runtime.py,libs/tuning/benchmark_search.py,libs/tuning/benchmark_variants.py,libs/tuning/objectives.py,libs/tuning/presets.py,libs/tuning/reporting.py,libs/tuning/validation_panels.py,libs/windows/__init__.py,libs/windows/buffer.py,libs/windows/coverage.py,libs/windows/features.py,libs/windows/pipeline.py,libs/windows/policy_profile.py,libs/windows/tables.py,libs/windows/window.py"
core_libraries.anomaly,core_libraries,component,Anomaly,`libs/anomaly` owns downstream anomaly attribution artifacts and attribution-vs-truth validation.,Python + PySpark,2279,5,"libs/anomaly/__init__.py,libs/anomaly/frames.py,libs/anomaly/pipeline.py,libs/anomaly/tables.py,libs/anomaly/validator.py"
core_libraries.backbone,core_libraries,component,Backbone,`libs/backbone` owns the continuous reconstruction backbone used to summarize normal multivariate structure and sensor importance.,Python + PySpark,817,5,"libs/backbone/__init__.py,libs/backbone/artifacts.py,libs/backbone/energy.py,libs/backbone/fit.py,libs/backbone/tables.py"
core_libraries.behavior,core_libraries,component,Behavior,`libs/behavior` owns the parameter behavior families used by simulation.,Python + PySpark,1910,12,"libs/behavior/__init__.py,libs/behavior/accumulative.py,libs/behavior/base.py,libs/behavior/discrete_state.py,libs/behavior/inertial.py,libs/behavior/primitives.py,libs/behavior/registry.py,libs/behavior/regulated.py,libs/behavior/tick.py,libs/behavior/tracking.py,libs/behavior/utils.py,libs/behavior/validation.py"
core_libraries.common,core_libraries,component,Common,`libs/common` now contains only narrow shared constants and helpers that are genuinely cross-cutting.,Python + PySpark,199,4,"libs/common/__init__.py,libs/common/event_types.py,libs/common/parameter_datatypes.py,libs/common/spark_exprs.py"
core_libraries.config,core_libraries,component,Config,Modules grouped under `libs.config`.,Python + PySpark,642,2,"libs/config/__init__.py,libs/config/pipeline.py"
core_libraries.events,core_libraries,component,Events,`libs/events` owns canonical event detection and event validation.,Python + PySpark,3493,9,"libs/events/__init__.py,libs/events/calibration.py,libs/events/categorical.py,libs/events/continuous.py,libs/events/pipeline.py,libs/events/profiling.py,libs/events/tables.py,libs/events/types.py,libs/events/validator.py"
core_libraries.graph,core_libraries,component,Graph,`libs/graph` owns graph-domain models built from telemetry windows and events.,Python + PySpark,3513,13,"libs/graph/__init__.py,libs/graph/data.py,libs/graph/evaluation.py,libs/graph/event.py,libs/graph/fused.py,libs/graph/hierarchy.py,libs/graph/hierarchy_artifacts.py,libs/graph/lag.py,libs/graph/pipeline.py,libs/graph/precision.py,libs/graph/tables.py,libs/graph/transition.py,libs/graph/validator.py"
core_libraries.io,core_libraries,component,Io,"`libs/io` owns artifact schemas, row contracts, and persistence/bridge utilities.",Python + PySpark,2073,16,"libs/io/__init__.py,libs/io/contracts.py,libs/io/delta.py,libs/io/pandas_spark.py,libs/io/schemas/__init__.py,libs/io/schemas/anomaly.py,libs/io/schemas/backbone.py,libs/io/schemas/events.py,libs/io/schemas/explorer.py,libs/io/schemas/graph.py,libs/io/schemas/phase.py,libs/io/schemas/profiling.py,libs/io/schemas/scoring.py,libs/io/schemas/telemetry.py,libs/io/schemas/windows.py,libs/io/transforms.py"
core_libraries.perf,core_libraries,component,Perf,`libs/perf` owns operational instrumentation helpers: MLflow integration; wall-time logging; memory observability snapshots; stage-manifest generation,Python + PySpark,1088,6,"libs/perf/__init__.py,libs/perf/annotations.py,libs/perf/logger.py,libs/perf/memory.py,libs/perf/mlflow.py,libs/perf/stage_manifest.py"
core_libraries.phase,core_libraries,component,Phase,"`libs/phase` owns phase feature selection, phase detection, phase analysis, and phase validation.",Python + PySpark,4332,14,"libs/phase/__init__.py,libs/phase/analysis.py,libs/phase/artifacts.py,libs/phase/config_fit.py,libs/phase/decode.py,libs/phase/feature_config.py,libs/phase/fit.py,libs/phase/frames.py,libs/phase/pipeline.py,libs/phase/selectors.py,libs/phase/tables.py,libs/phase/types.py,libs/phase/utils.py,libs/phase/validator.py"
core_libraries.profiling,core_libraries,component,Profiling,`libs/profiling` owns parameter profiling over canonical telemetry: datatype profiling; continuous scaling/profile statistics; behavior-family profiling,Python + PySpark,1552,4,"libs/profiling/__init__.py,libs/profiling/pipeline.py,libs/profiling/profiles.py,libs/profiling/validator.py"
core_libraries.pyspark,core_libraries,component,Pyspark,Modules grouped under `libs.pyspark`.,Python + PySpark,201,4,"libs/pyspark/__init__.py,libs/pyspark/frame.py,libs/pyspark/schema.py,libs/pyspark/table.py"
core_libraries.reporting,core_libraries,component,Reporting,Modules grouped under `libs.reporting`.,Python + PySpark,64,2,"libs/reporting/__init__.py,libs/reporting/frame.py"
core_libraries.scoring,core_libraries,component,Scoring,`libs/scoring` owns raw and calibrated anomaly scoring over fitted phase and structural artifacts.,Python + PySpark,2085,4,"libs/scoring/__init__.py,libs/scoring/channels.py,libs/scoring/tables.py,libs/scoring/validator.py"
core_libraries.simulation,core_libraries,component,Simulation,This package contains the simulation domain model only. It does not own,Python + PySpark,11666,62,"libs/simulation/__init__.py,libs/simulation/aircraft/__init__.py,libs/simulation/aircraft/examples.py,libs/simulation/aircraft/runtime.py,libs/simulation/aircraft/spec.py,libs/simulation/cli.py,libs/simulation/coupling/__init__.py,libs/simulation/coupling/examples.py,libs/simulation/coupling/runtime.py,libs/simulation/coupling/spec.py,libs/simulation/event_truth.py,libs/simulation/fault/__init__.py,libs/simulation/fault/examples.py,libs/simulation/fault/runtime.py,libs/simulation/fault/spec.py,libs/simulation/fleet/__init__.py,libs/simulation/fleet/examples.py,libs/simulation/fleet/runtime.py,libs/simulation/flight/__init__.py,libs/simulation/flight/examples.py,libs/simulation/flight/runtime.py,libs/simulation/flight/spec.py,libs/simulation/full_run_report.py,libs/simulation/module/__init__.py,libs/simulation/module/examples.py,libs/simulation/module/runtime.py,libs/simulation/module/spec.py,libs/simulation/parameter/__init__.py,libs/simulation/parameter/examples.py,libs/simulation/parameter/runtime.py,libs/simulation/parameter/spec.py,libs/simulation/phase/__init__.py,libs/simulation/phase/catalog.py,libs/simulation/phase/examples.py,libs/simulation/phase/runtime.py,libs/simulation/phase/spec.py,libs/simulation/port/__init__.py,libs/simulation/port/examples.py,libs/simulation/port/runtime.py,libs/simulation/port/spec.py,libs/simulation/replay_report.py,libs/simulation/report_tables.py,libs/simulation/reporting.py,libs/simulation/run_bundle.py,libs/simulation/run_cli.py,libs/simulation/run_context.py,libs/simulation/runner.py,libs/simulation/scenarios/__init__.py,libs/simulation/scenarios/power_pressurization.py,libs/simulation/seed_bundle.py,libs/simulation/subsystem/__init__.py,libs/simulation/subsystem/examples.py,libs/simulation/subsystem/runtime.py,libs/simulation/subsystem/spec.py,libs/simulation/system/__init__.py,libs/simulation/system/examples.py,libs/simulation/system/runtime.py,libs/simulation/system/spec.py,libs/simulation/tail/__init__.py,libs/simulation/tail/examples.py,libs/simulation/tail/runtime.py,libs/simulation/validation_harness.py"
core_libraries.spark_sequence,core_libraries,component,Spark Sequence,Modules grouped under `libs.spark_sequence`.,Python + PySpark,274,2,"libs/spark_sequence/__init__.py,libs/spark_sequence/plan.py"
core_libraries.tuning,core_libraries,component,Tuning,This package answers: which metrics should go up; which metrics should go down; which metrics are hard constraints; whether a run is comparable enough to rank against other runs,Python + PySpark,3479,13,"libs/tuning/__init__.py,libs/tuning/benchmark_execution.py,libs/tuning/benchmark_invocation.py,libs/tuning/benchmark_planning.py,libs/tuning/benchmark_reporting.py,libs/tuning/benchmark_runner.py,libs/tuning/benchmark_runtime.py,libs/tuning/benchmark_search.py,libs/tuning/benchmark_variants.py,libs/tuning/objectives.py,libs/tuning/presets.py,libs/tuning/reporting.py,libs/tuning/validation_panels.py"
core_libraries.windows,core_libraries,component,Windows,`libs/windows` owns: window lifecycle and closure semantics; window-policy profiling and selection; per-window signal buffering; the canonical segmented Spark window builder,Python + PySpark,3442,8,"libs/windows/__init__.py,libs/windows/buffer.py,libs/windows/coverage.py,libs/windows/features.py,libs/windows/pipeline.py,libs/windows/policy_profile.py,libs/windows/tables.py,libs/windows/window.py"
architecture_tooling,s3ntinel,container,Architecture Tooling,"Repo map extraction, architecture normalization, C4 rendering, and AI review packaging.",Python CLI,3912,10,"libs/architecture/__init__.py,libs/architecture/ai_review.py,libs/architecture/annotations.py,libs/architecture/extract.py,libs/architecture/model.py,libs/architecture/render.py,tools/__init__.py,tools/architecture_workflow.py,tools/module_deps.py,tools/repo_schematic.py"
architecture_tooling.repo_maps,architecture_tooling,component,Repo Mapping Tools,Existing AST and import-graph tooling used as the source layer for architecture extraction.,Python CLI,1029,2,"tools/module_deps.py,tools/repo_schematic.py"
architecture_tooling.workflow,architecture_tooling,component,Architecture Workflow,"Deterministic extract, render, check, and AI draft orchestration for architecture artifacts.",Python CLI,2881,7,"libs/architecture/__init__.py,libs/architecture/ai_review.py,libs/architecture/annotations.py,libs/architecture/extract.py,libs/architecture/model.py,libs/architecture/render.py,tools/architecture_workflow.py"
